Initializing Supabase Admin client...
Supabase Admin client initialized
Loading auth middleware...
CORS Origin configured as: http://localhost:3000
🚀 API Server running on http://localhost:3002
📋 Health check: http://localhost:3002/api/health
[2026-02-03T11:12:22.061Z] OPTIONS /api/stats/overview
[2026-02-03T11:12:22.065Z] OPTIONS /api/stats/overview
[2026-02-03T11:12:22.065Z] GET /api/stats/overview
[2026-02-03T11:12:22.776Z] GET /api/stats/overview
[2026-02-03T11:12:23.721Z] OPTIONS /api/spaces
[2026-02-03T11:12:23.723Z] OPTIONS /api/spaces
[2026-02-03T11:12:23.724Z] GET /api/spaces
[2026-02-03T11:12:24.410Z] GET /api/spaces
[2026-02-03T11:12:24.846Z] OPTIONS /api/tenants
[2026-02-03T11:12:24.851Z] GET /api/tenants
[2026-02-03T11:12:24.852Z] OPTIONS /api/tenants
[2026-02-03T11:12:25.739Z] OPTIONS /api/contracts
[2026-02-03T11:12:25.740Z] OPTIONS /api/contracts
[2026-02-03T11:12:25.741Z] GET /api/contracts
[2026-02-03T11:12:26.030Z] GET /api/tenants
[2026-02-03T11:12:26.542Z] GET /api/contracts
[2026-02-03T11:12:27.128Z] OPTIONS /api/payments?limit=100
[2026-02-03T11:12:27.129Z] OPTIONS /api/payments?limit=100
[2026-02-03T11:12:27.130Z] GET /api/payments?limit=100
[2026-02-03T11:12:28.324Z] GET /api/payments?limit=100
[2026-02-03T11:12:29.361Z] OPTIONS /api/stats/overview
[2026-02-03T11:12:29.362Z] OPTIONS /api/stats/overview
[2026-02-03T11:12:29.363Z] GET /api/stats/overview
[2026-02-03T11:12:30.163Z] GET /api/stats/overview
[2026-02-03T11:14:18.574Z] OPTIONS /api/spaces
[2026-02-03T11:14:18.576Z] OPTIONS /api/spaces
[2026-02-03T11:14:18.579Z] GET /api/spaces
[2026-02-03T11:14:19.503Z] GET /api/spaces
[2026-02-03T11:14:53.726Z] OPTIONS /api/payments?limit=100
[2026-02-03T11:14:53.728Z] OPTIONS /api/payments?limit=100
[2026-02-03T11:14:53.729Z] GET /api/payments?limit=100
[2026-02-03T11:14:54.483Z] GET /api/payments?limit=100
[2026-02-03T11:14:55.822Z] OPTIONS /api/tenants
[2026-02-03T11:14:55.823Z] OPTIONS /api/tenants
[2026-02-03T11:14:55.824Z] GET /api/tenants
[2026-02-03T11:14:56.890Z] GET /api/tenants
[2026-02-03T11:14:57.583Z] OPTIONS /api/contracts
[2026-02-03T11:14:57.584Z] OPTIONS /api/contracts
[2026-02-03T11:14:57.585Z] GET /api/contracts
[2026-02-03T11:14:58.525Z] GET /api/contracts
[2026-02-03T11:15:07.360Z] OPTIONS /api/tenants
[2026-02-03T11:15:07.360Z] OPTIONS /api/tenants
[2026-02-03T11:15:07.361Z] GET /api/tenants
[2026-02-03T11:15:08.449Z] GET /api/tenants
[2026-02-03T11:26:39.463Z] OPTIONS /api/contracts
[2026-02-03T11:26:39.464Z] OPTIONS /api/contracts
[2026-02-03T11:26:39.466Z] GET /api/contracts
[2026-02-03T11:26:41.230Z] OPTIONS /api/stats/overview
[2026-02-03T11:26:41.231Z] OPTIONS /api/stats/overview
[2026-02-03T11:26:41.233Z] GET /api/stats/overview
[2026-02-03T11:26:41.424Z] GET /api/contracts
[2026-02-03T11:26:43.184Z] GET /api/stats/overview
[2026-02-04T08:28:27.001Z] OPTIONS /api/stats/overview
[2026-02-04T08:28:27.005Z] OPTIONS /api/stats/overview
[2026-02-04T08:28:27.008Z] GET /api/stats/overview
[2026-02-04T08:28:29.944Z] GET /api/stats/overview
[2026-02-04T08:29:04.761Z] OPTIONS /api/stats/overview
[2026-02-04T08:29:04.769Z] OPTIONS /api/stats/overview
[2026-02-04T08:29:04.772Z] GET /api/stats/overview
[2026-02-04T08:29:06.043Z] GET /api/stats/overview
[2026-02-04T09:05:26.804Z] OPTIONS /api/spaces
[2026-02-04T09:05:26.805Z] OPTIONS /api/spaces
[2026-02-04T09:05:26.806Z] GET /api/spaces
[2026-02-04T09:05:27.452Z] OPTIONS /api/stats/overview
[2026-02-04T09:05:27.452Z] OPTIONS /api/stats/overview
[2026-02-04T09:05:27.454Z] GET /api/stats/overview
[2026-02-04T09:05:28.899Z] GET /api/spaces
[2026-02-04T09:05:29.389Z] GET /api/stats/overview
[2026-02-04T09:07:10.954Z] OPTIONS /api/stats/overview
[2026-02-04T09:07:10.955Z] OPTIONS /api/stats/overview
[2026-02-04T09:07:10.955Z] GET /api/stats/overview
[2026-02-04T09:07:11.745Z] GET /api/stats/overview
[2026-02-04T09:07:24.406Z] OPTIONS /api/stats/overview
[2026-02-04T09:07:24.407Z] OPTIONS /api/stats/overview
[2026-02-04T09:07:24.407Z] GET /api/stats/overview
[2026-02-04T09:07:25.166Z] GET /api/stats/overview
[2026-02-04T09:07:26.912Z] OPTIONS /api/payments?limit=100
[2026-02-04T09:07:26.913Z] OPTIONS /api/payments?limit=100
[2026-02-04T09:07:26.914Z] GET /api/payments?limit=100
[2026-02-04T09:07:27.553Z] GET /api/payments?limit=100
